"Story","Title","Result","Date","Stability","Duration (s)"
"Login de usuario","Login de usuario exitoso","SUCCESS","2023-12-14T15:25:17.81787-05:00[America/Bogota]","0.0","1.16"
"Login de usuario","Login de usuario exitoso","SUCCESS","2023-12-14T16:33:26.911746-05:00[America/Bogota]","0.0","14.16"
